Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,ellos/ellas/ustedes,consiguen,consiguieron,conseguían,conseguirían,conseguirán
construir,to build,kohns - trweer,yo,construyo,construí,construía,construiría,construiré
,,,tú,construyes,construiste,construías,construirías,construirás
,,,él/ella/usted,construye,construyó,construía,construiría,construirá
,,,nosotros,construimos,construimos,construíamos,construiríamos,construiremos
,,,vosotros,construís,construisteis,construíais,construiríais,construiréis
,,,ellos/ellas/ustedes,construyen,construyeron,construían,construirían,construirán
contar,to count,kohn - tahr,yo,cuento,conté,contaba,contaría,contaré
,,,tú,cuentas,contaste,contabas,contarías,contarás
,,,él/ella/usted,cuenta,contó,contaba,contaría,contará
,,,nosotros,contamos,contamos,contábamos,contaríamos,contaremos
,,,vosotros,contáis,contasteis,contabais,contaríais,contaréis
,,,ellos/ellas/ustedes,cuentan,contaron,contaban,contarían,contarán
continuar,to continue,kohn - tee - nwahr,yo,continúo,continué,continuaba,continuaría,continuaré
,,,tú,continúas,continuaste,continuabas,continuarías,continuarás
,,,él/ella/usted,continúa,continuó,continuaba,continuaría,continuará
,,,nosotros,continuamos,continuamos,continuábamos,continuaríamos,continuaremos
,,,vosotros,continuáis,continuasteis,continuabais,continuaríais,continuaréis
,,,ellos/ellas/ustedes,continúan,continuaron,continuaban,continuarían,continuarán
convencer,to convince,kohm - behn - thehr,yo,convenzo,convencí,convencía,convencería,convenceré
,,,tú,convences,convenciste,convencías,convencerías,convencerás
,,,él/ella/usted,convence,convenció,convencía,convencería,convencerá
,,,nosotros,convencemos,convencimos,convencíamos,convenceríamos,convenceremos
,,,vosotros,convencéis,convencisteis,convencíais,convenceríais,convenceréis
,,,ellos/ellas/ustedes,convencen,convencieron,convencían,convencerían,convencerán
copiar,to copy,koh - pyahr,yo,copio,copié,copiaba,copiaría,copiaré
,,,tú,copias,copiaste,copiabas,copiarías,copiarás
,,,él/ella/usted,copia,copió,copiaba,copiaría,copiará
,,,nosotros,copiamos,copiamos,copiábamos,copiaríamos,copiaremos
,,,vosotros,copiáis,copiasteis,copiabais,copiaríais,copiaréis
,,,ellos/ellas/ustedes,copian,copiaron,copiaban,copiarían,copiarán
corregir,to correct,koh - rreh - heer,yo,corrijo,corregí,corregía,corregiría,corregiré
,,,tú,corriges,corregiste,corregías,corregirías,corregirás
,,,él/ella/usted,corrige,corrigió,corregía,corregiría,corregirá
,,,nosotros,corregimos,corregimos,corregíamos,corregiríamos,corregiremos
,,,vosotros,corregís,corregisteis,corregíais,corregiríais,corregiréis
,,,ellos/ellas/ustedes,corrigen,corrigieron,corregían,corregirían,corregirán
correr,to run,koh - rrehr,yo,corro,corrí,corría,correría,correré
,,,tú,corres,corriste,corrías,correrías,correrás
,,,él/ella/usted,corre,corrió,corría,correría,correrá
,,,nosotros,corremos,corrimos,corríamos,correríamos,correremos
,,,vosotros,corréis,corristeis,corríais,correríais,correréis
,,,ellos/ellas/ustedes,corren,corrieron,corrían,correrían,correrán
cortar,to cut,kohr - tahr,yo,corto,corté,cortaba,cortaría,cortaré
,,,tú,cortas,cortaste,cortabas,cortarías,cortarás
,,,él/ella/usted,corta,cortó,cortaba,cortaría,cortará
,,,nosotros,cortamos,cortamos,cortábamos,cortaríamos,cortaremos
,,,vosotros,cortáis,cortasteis,cortabais,cortaríais,cortaréis
,,,ellos/ellas/ustedes,cortan,cortaron,cortaban,cortarían,cortarán
costar,to cost,kohs - tahr,yo,cuesto,costé,costaba,costaría,costaré
